"nM_ara","MEAN_FITC.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","MEAN_Pacific_Orange.A","STD_FITC.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A","STD_Pacific_Orange.A"
0,3948.82285437603,1020.84428463776,26.7570306284521,46.8405617315914,175.441786789232,7.13804068174068,0.393849753884946,3.62488368505665
10000,4099.73022523027,1843.09366473004,26.2497572312536,426.907717238262,317.250345107968,321.940793110911,0.492193743207176,28.1818411966418
1000,4336.47833477315,841.0392754913,30.2388798558073,713.22528326946,614.007407691603,64.3730399280075,1.04447601482313,121.182733937439
100,4163.12971239406,789.743844592896,26.3074103155216,695.138107499511,497.944152945215,41.755340018261,1.08330954858922,108.362412898435
