Short Name,Features,Custom Name
exp_0_0_0_0,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_1EXPRESSOR_pBM3R1_1
exp_0_0_0_1,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_2EXPRESSOR_pBM3R1_2
exp_0_0_0_2,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_3EXPRESSOR_pBM3R1_3
exp_0_0_0_3,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_4EXPRESSOR_pBM3R1_4
exp_0_0_0_4,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_5EXPRESSOR_pBM3R1_5
exp_0_0_0_5,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_6EXPRESSOR_pBM3R1_6
exp_0_0_0_6,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_7EXPRESSOR_pBM3R1_7
exp_0_0_0_7,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_8EXPRESSOR_pBM3R1_8
exp_0_0_0_8,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_9EXPRESSOR_pBM3R1_9
exp_0_0_0_9,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_10EXPRESSOR_pBM3R1_10
exp_0_0_0_10,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_11EXPRESSOR_pBM3R1_11
exp_0_0_0_11,pBM3R1.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBM3R1_12EXPRESSOR_pBM3R1_12
exp_0_0_0_12,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pPhlF_1EXPRESSOR_pPhlF_1
exp_0_0_0_13,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_14,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pPhlF_3EXPRESSOR_pPhlF_3
exp_0_0_0_15,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pPhlF_4EXPRESSOR_pPhlF_4
exp_0_0_0_16,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pPhlF_5EXPRESSOR_pPhlF_5
exp_0_0_0_17,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_18,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_19,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_20,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_21,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_22,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_23,pPhlF.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_24,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_1EXPRESSOR_pSrpR_1
exp_0_0_0_25,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_2EXPRESSOR_pSrpR_2
exp_0_0_0_26,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_3EXPRESSOR_pSrpR_3
exp_0_0_0_27,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_4EXPRESSOR_pSrpR_4
exp_0_0_0_28,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_5EXPRESSOR_pSrpR_5
exp_0_0_0_29,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_6EXPRESSOR_pSrpR_6
exp_0_0_0_30,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_7EXPRESSOR_pSrpR_7
exp_0_0_0_31,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_8EXPRESSOR_pSrpR_8
exp_0_0_0_32,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_9EXPRESSOR_pSrpR_9
exp_0_0_0_33,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_10EXPRESSOR_pSrpR_10
exp_0_0_0_34,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_11EXPRESSOR_pSrpR_11
exp_0_0_0_35,pSrpR.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pSrpR_12EXPRESSOR_pSrpR_12
exp_0_0_0_36,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBetI_1EXPRESSOR_pBetI_1
exp_0_0_0_37,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBetI_2EXPRESSOR_pBetI_2
exp_0_0_0_38,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBetI_3EXPRESSOR_pBetI_3
exp_0_0_0_39,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBetI_4EXPRESSOR_pBetI_4
exp_0_0_0_40,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_41,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBetI_6EXPRESSOR_pBetI_6
exp_0_0_0_42,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_43,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_44,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_45,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pBetI_10EXPRESSOR_pBetI_10
exp_0_0_0_46,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_47,pBetI.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_48,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_49,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_50,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_51,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_52,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_53,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_54,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_55,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_56,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_57,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_58,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_59,pLtetO_1.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_60,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_1EXPRESSOR_pLmrA_1
exp_0_0_0_61,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_2EXPRESSOR_pLmrA_2
exp_0_0_0_62,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_3EXPRESSOR_pLmrA_3
exp_0_0_0_63,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_4EXPRESSOR_pLmrA_4
exp_0_0_0_64,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_5EXPRESSOR_pLmrA_5
exp_0_0_0_65,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_6EXPRESSOR_pLmrA_6
exp_0_0_0_66,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_7EXPRESSOR_pLmrA_7
exp_0_0_0_67,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_8EXPRESSOR_pLmrA_8
exp_0_0_0_68,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_9EXPRESSOR_pLmrA_9
exp_0_0_0_69,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_10EXPRESSOR_pLmrA_10
exp_0_0_0_70,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_11EXPRESSOR_pLmrA_11
exp_0_0_0_71,pLmrA.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLmrA_12EXPRESSOR_pLmrA_12
exp_0_0_0_72,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_73,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_74,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLac_3EXPRESSOR_pLac_3
exp_0_0_0_75,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_76,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,EXPRESSOR_pLac_5EXPRESSOR_pLac_5
exp_0_0_0_77,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_78,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_79,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_80,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_81,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_82,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_0_0_83,pA1LacO.ref|r2|EGFPm.ref|t2|ColE1.ref,
exp_0_1_0_0,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_1,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_2,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_3,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_4,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_5,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_6,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_7,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_8,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_9,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_10,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exp_0_1_0_11,para_1.ref|r1|EGFPm.ref|t1|ColE1.ref,
exr_0_1_0_0,para_1.ref|BCD8.ref|lmrA.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_1,para_1.ref|BCD8.ref|lmrA.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
exr_0_1_0_2,para_1.ref|BCD8.ref|betI.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_3,para_1.ref|BCD8.ref|betI.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
exr_0_1_0_4,para_1.ref|BCD8.ref|BM3R1.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_5,para_1.ref|BCD8.ref|BM3R1.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
exr_0_1_0_6,para_1.ref|BCD8.ref|srpR.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_7,para_1.ref|BCD8.ref|srpR.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
exr_0_1_0_8,para_1.ref|BCD8.ref|tetR.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_9,para_1.ref|BCD8.ref|tetR.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
exr_0_1_0_10,para_1.ref|BCD8.ref|lacIm.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_11,para_1.ref|BCD8.ref|lacIm.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
exr_0_1_0_12,para_1.ref|BCD8.ref|phlF.ref|HelicalLinker.ref|DsRed.ref|TAG|B0015.ref|ColE1.ref,
exr_0_1_0_13,para_1.ref|BCD8.ref|phlF.ref|HelicalLinker.ref|DsRed.ref|B0015.ref|ColE1.ref,
