"Time","MEAN_FITC.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","MEAN_Pacific_Orange.A","STD_FITC.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A","STD_Pacific_Orange.A"
120,2767.21092494789,615.853096960018,24.6858441641431,444.777116989175,131.20138801899,24.6517622169118,1.16428238124399,33.9541504065114
240,3235.47236676408,1106.3789808278,24.9825773988366,403.195377974313,147.277497101287,269.069437336448,0.626413321813084,17.2335519074717
360,3659.40464400474,1413.52661908599,26.4450940603447,468.474997562345,202.118731622536,500.606577469966,0.639181272735198,14.0268985598075
480,4103.08496714936,1842.21953495771,26.2498618101571,429.118121351569,315.264450633416,323.352191376969,0.490168057658468,26.7040402757739
