"PART","MEDIA","TIME","PE.Texas_Red.A"
"J23104_BCD2_rfp_B0015","LB","0 min","182.533068634835"
"J23104_BCD2_rfp_B0015","LB","5 min","2388.00309735878"
"J23104_BCD2_rfp_B0015","LB","10 min","50426.5734352235"
"J23104_BCD2_rfp_B0015","LB","15 min","437.966881228726"
"J23104_BCD2_rfp_B0015","LB","25 min","5228.42313569459"
"J23104_BCD2_rfp_AAV_B0015","LB","0 min","0.0851241026725133"
"J23104_BCD2_rfp_AAV_B0015","LB","5 min","-0.271840622508944"
"J23104_BCD2_rfp_AAV_B0015","LB","10 min","-0.647480858587761"
"J23104_BCD2_rfp_AAV_B0015","LB","15 min","12119.6280853436"
"J23104_BCD2_rfp_AAV_B0015","LB","25 min","-1.80032823043088"
"J23104_BCD2_rfp_DAS_B0015","LB","0 min","1.77559155868839"
"J23104_BCD2_rfp_DAS_B0015","LB","5 min","3.1315256916567"
"J23104_BCD2_rfp_DAS_B0015","LB","10 min","5.01230069613219"
"J23104_BCD2_rfp_DAS_B0015","LB","15 min","3.00563736349462"
"J23104_BCD2_rfp_DAS_B0015","LB","25 min","4.80183074180559"
"J23104_BCD2_rfp_LAA_B0015","LB","0 min","38.5920529218611"
"J23104_BCD2_rfp_LAA_B0015","LB","5 min","215.375888000826"
"J23104_BCD2_rfp_LAA_B0015","LB","10 min","27.2033605700334"
"J23104_BCD2_rfp_LAA_B0015","LB","15 min","70388.8820438859"
"J23104_BCD2_rfp_LAA_B0015","LB","25 min","1438.57052184542"
