"time","AraC","aTc","BFP","ara","TetR","cell"
0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1584329698995615,0.0,0.0,0.0,27.673307365912578,1.0
2.0,0.1241731927831452,0.0,0.0,0.0,40.73330046957189,1.0
3.0,0.09288701202177725,0.0,0.0,0.0,51.72866516976022,1.0
4.0,0.06945363585421427,0.0,0.0,0.0,60.05481603036462,1.0
5.0,0.05193666751304623,0.0,0.0,0.0,66.69584499231085,1.0
6.0,0.0388531837187202,0.0,0.0,0.0,72.1610247733588,1.0
7.0,0.029085063967915402,0.0,0.0,0.0,76.75388536355968,1.0
8.0,0.02179364297249431,0.0,0.0,0.0,80.67222688926478,1.0
9.0,0.016351350535698417,0.0,0.0,0.0,84.05318933762783,1.0
10.0,0.012289171430304587,0.0,0.0,0.0,86.99629413211031,1.0
11.0,0.009256848817478392,0.0,0.0,0.0,89.5763357815686,1.0
12.0,0.006992936604049682,0.0,0.0,0.0,91.85110293789484,1.0
13.0,0.005302339983305685,0.0,0.0,0.0,93.86625640510192,1.0
14.0,0.00403950499284512,0.0,0.0,0.0,95.65854674673315,1.0
15.0,0.003095851695975544,0.0,0.0,0.0,97.25801355627583,1.0
16.0,0.002390387297066746,0.0,0.0,0.0,98.68953431668481,1.0
17.0,0.0018626983784908438,0.0,0.0,0.0,99.97394338180754,1.0
18.0,0.001467721267601239,0.0,0.0,0.0,101.12885839532306,1.0
19.0,0.0011718404119790708,0.0,0.0,0.0,102.16930248720564,1.0
20.0,9.499780890394868E-4,0.0,0.0,0.0,103.10818071537146,1.0
21.0,7.834238628676727E-4,0.0,0.0,0.0,103.95665042385083,1.0
22.0,6.582159065515048E-4,0.0,0.0,0.0,104.72441303386108,1.0
23.0,5.639339483984441E-4,0.0,0.0,0.0,105.41994673110689,1.0
24.0,4.927991966311834E-4,0.0,0.0,0.0,106.05069406054288,1.0
25.0,4.390031781177997E-4,0.0,0.0,0.0,106.62321467622219,1.0
26.0,3.9820726680215863E-4,0.0,0.0,0.0,107.14331084979004,1.0
27.0,3.671694813161242E-4,0.0,0.0,0.0,107.61613145379802,1.0
28.0,3.4346617446808067E-4,0.0,0.0,0.0,108.04625876902674,1.0
29.0,3.252844736732772E-4,0.0,0.0,0.0,108.43778146166474,1.0
30.0,3.1126747346380397E-4,0.0,0.0,0.0,108.79435633068007,1.0
31.0,3.0039876102872014E-4,0.0,0.0,0.0,109.11926086549919,1.0
32.0,2.9191627038425814E-4,0.0,0.0,0.0,109.4154382286962,1.0
33.0,2.8524800654630667E-4,0.0,0.0,0.0,109.68553595219936,1.0
34.0,2.7996407898764374E-4,0.0,0.0,0.0,109.93193938313426,1.0
35.0,2.7574089854657277E-4,0.0,0.0,0.0,110.15680071848443,1.0
36.0,2.7233444673072056E-4,0.0,0.0,0.0,110.36206431285906,1.0
37.0,2.6956031268093124E-4,0.0,0.0,0.0,110.54948882092653,1.0
38.0,2.67278779256607E-4,0.0,0.0,0.0,110.72066663814658,1.0
39.0,2.653836767170068E-4,0.0,0.0,0.0,110.87704102477598,1.0
40.0,2.637940482783062E-4,0.0,0.0,0.0,111.01992123455015,1.0
41.0,2.624479147321955E-4,0.0,0.0,0.0,111.15049591775606,1.0
42.0,2.6129760642034825E-4,0.0,0.0,0.0,111.26984502615113,1.0
43.0,2.603062658998817E-4,0.0,0.0,0.0,111.37895041244114,1.0
44.0,2.5944522533300407E-4,0.0,0.0,0.0,111.47870528832844,1.0
45.0,2.586920377293275E-4,0.0,0.0,0.0,111.56992268130556,1.0
46.0,2.58028997176754E-4,0.0,0.0,0.0,111.65334301048809,1.0
47.0,2.5744202497281107E-4,0.0,0.0,0.0,111.72964088511688,1.0
48.0,2.5691982973297784E-4,0.0,0.0,0.0,111.79943121533674,1.0
49.0,2.564532728046716E-4,0.0,0.0,0.0,111.86327471300588,1.0
50.0,2.5603488766699485E-4,0.0,0.0,0.0,111.92168285023129,1.0
51.0,2.5565851494704526E-4,0.0,0.0,0.0,111.97512233475744,1.0
52.0,2.553190243518211E-4,0.0,0.0,0.0,112.02401915400716,1.0
53.0,2.550121020343424E-4,0.0,0.0,0.0,112.0687622332872,1.0
54.0,2.547340873053006E-4,0.0,0.0,0.0,112.10970674825431,1.0
55.0,2.544818466310091E-4,0.0,0.0,0.0,112.1471771270586,1.0
56.0,2.542526758704352E-4,0.0,0.0,0.0,112.18146977352485,1.0
