"Time","MEAN_FITC.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","MEAN_Pacific_Orange.A","STD_FITC.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A","STD_Pacific_Orange.A"
0,15248.2354280663,201.030831694877,24.4650080326507,164.920469929398,0,0,0,0
30,3040.45595527495,606.480941920607,25.8624436449013,187.463061323602,116.754861113608,26.9907535709423,2.57248073996816,16.2600345152228
60,3649.00877568642,605.656072788935,26.4059320004483,191.025222976662,158.47049548669,13.0500697152605,2.37486958548517,15.2548560452141
90,9059.07514683605,200.784343626075,26.3720358014491,395.684495366998,1766.02357527709,20.8501878029828,1.96596024852945,478.28491990752
120,7583.73108824143,196.045743828471,24.119151598231,626.372292405427,966.770972637826,25.8350448434064,2.07170945229051,992.02459863767
