"Part","MEAN_FITC.A","MEAN_Pacific_Blue.A","STD_FITC.A","STD_Pacific_Blue.A"
"EXPRESSOR_pTet_1_M9_glucose",130.18637529049,60.1965624318824,4.27362625057932,6.04048293298592
"EXPRESSOR_pTet_2_M9_glucose",413.988974018645,54.7209043744326,8.4906444866582,1.02299286182066
"EXPRESSOR_pTet_4_M9_glucose",23173.5308199743,44.3513753954563,1611.26323301504,0.491118834991621
"EXPRESSOR_pTet_5_M9_glucose",22331.8914857993,45.0477828639952,1296.75113669962,1.36553902779386
"EXPRESSOR_pTet_6_M9_glucose",386.435363742164,62.1535816764331,71.9712779956868,1.97895101538138
"EXPRESSOR_pTet_7_M9_glucose",419.375262701353,60.41006714041,31.4227733987467,1.29652133627005
"EXPRESSOR_pTet_8_M9_glucose",284.550681673502,5010.40388490765,6.00752599689319,381.580686372276
"EXPRESSOR_pTet_9_M9_glucose",25303.1721133076,44.348542090678,821.586227906732,3.06532744627698
"EXPRESSOR_pTet_10_M9_glucose",9213.19088444071,52.4242831521635,678.73897679622,2.09121932215296
"EXPRESSOR_pTet_11_M9_glucose",9704.43155380828,52.4582403698743,95.6013620488808,0.991513518357477
"EXPRESSOR_pTet_12_M9_glucose",137.174579725654,60.890862583974,6.16971355401659,2.57170338847492
