"ng_mL_aTc","MEAN_FITC.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","MEAN_Pacific_Orange.A","STD_FITC.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A","STD_Pacific_Orange.A"
0,138.180932072262,803.590075698657,25.8835795015991,56.3536992257931,4.80241835554697,216.00156478873,0.813622731368082,4.45192199261223
100,3285.07533142354,583.993044111834,23.1473036097574,216.179045843326,227.988247782445,12.4332645574297,0.461712191029366,9.47295151331661
10,1675.01582314352,606.003757710671,24.3483863192939,63.0618079621488,175.917279341319,47.8769706550592,0.922965663205102,4.20649435073041
1,1288.00666671816,565.536600988549,24.1343322813275,57.2192742310079,87.2197326087052,20.929660828447,0.375134373632979,3.16443492964311
