"Part","MEAN_FITC.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","STD_FITC.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A"
"EXPRESSOR_pLac_1_Minimal",118664.895173281,19.4870514512915,9.15930175028314,18964.4292580437,1.75579320216626,0.351093086289316
"EXPRESSOR_pLac_2_Minimal",0,0,0,0,0,0
"EXPRESSOR_pLac_3_Minimal",0,0,0,0,0,0
"EXPRESSOR_pLac_4_Minimal",193989.146639369,49.4196235265932,8.99822575230047,26478.6586701379,0.123551038291183,0.41917925501809
"EXPRESSOR_pLac_5_Minimal",22418.4869382669,11.9477973307608,9.99535787733958,4342.74788373917,0.474137834122993,0.318007027595822
"EXPRESSOR_pLac_6_Minimal",271.040836300538,339.087515702705,10.2463741144553,0,0,0
"EXPRESSOR_pLac_7_Minimal",226.620703199212,484.927900177385,8.8813545320437,15.197529922114,56.2218933842192,0.742197901669874
"EXPRESSOR_pLac_8_Minimal",259.956749622349,395.655947622077,10.7150690213147,15.0028581180128,102.313796225075,1.0455715880846
"EXPRESSOR_pLac_9_Minimal",253.334228139194,567.463392235838,10.0007281278848,14.1059862691246,30.3481298031751,0.55677004499643
"EXPRESSOR_pLac_10_Minimal",372.773643796478,88.3710599312046,10.88170898995,29.036113787856,10.3534033203666,0.188836697036356
"EXPRESSOR_pLac_11_Minimal",269.030061152087,521.412805920897,10.533946846039,26.0212903491895,34.9260585581507,0.666265155369345
"EXPRESSOR_pLac_12_Minimal",120104.950076443,23.7995090555289,9.66934482389287,12029.4770145833,0.684783189762468,0.105785807445173
