FILENAME,PART,ENVIRONMENT,CONCENTRATION,TIME
Specimen_001_AtcA_001.fcs,Inverter1,,,
Specimen_001_AtcA_002.fcs,Inverter1,aTc(ng/mL),100,
Specimen_001_AtcA_003.fcs,Inverter1,aTc(ng/mL),250,
Specimen_001_AtcA_004.fcs,Inverter1,aTc(ng/mL),500,
Specimen_001_AtcA_005.fcs,Inverter1,aTc(ng/mL),750,
Specimen_001_AtcA_006.fcs,Inverter1,aTc(ng/mL),1000,
Specimen_001_AtcB_002.fcs,Inverter1,aTc(ng/mL),100,
Specimen_001_AtcB_006.fcs,Inverter1,aTc(ng/mL),1000,
Specimen_001_foo.fcs,red_control,,,
Specimen_001_foo2.fcs,grn_control,,,
