"FSC";"SSC";"FITC";"Pacific_Blue";"PE-Texas_Red"
NA;NA;NA;NA;NA
692;692;692;692;692
2192;2192;2192;2192;2192
6028;6028;6028;6028;6028
17493;17493;17493;17493;17493
35674;35674;35674;35674;35674
126907;126907;126907;126907;126907
290983;290983;290983;290983;290983
