FILENAME,PART,CONTROL,MEDIA,TIME
Specimen_001_A1_A01_001.fcs,EXPRESSOR_pLac_1,,Minimal,0
Specimen_001_A2_A02_002.fcs,EXPRESSOR_pLac_1,,Minimal,0
Specimen_001_A3_A03_003.fcs,EXPRESSOR_pLac_1,,Minimal,0
Specimen_001_A4_A04_004.fcs,EXPRESSOR_pLac_2,,Minimal,0
Specimen_001_A6_A06_005.fcs,EXPRESSOR_pLac_2,,Minimal,0
Specimen_001_A7_A07_006.fcs,EXPRESSOR_pLac_3,,Minimal,0
Specimen_001_A8_A08_007.fcs,EXPRESSOR_pLac_3,,Minimal,0
Specimen_001_A9_A09_008.fcs,EXPRESSOR_pLac_3,,Minimal,0
Specimen_001_A10_A10_009.fcs,EXPRESSOR_pLac_4,,Minimal,0
Specimen_001_A11_A11_010.fcs,EXPRESSOR_pLac_4,,Minimal,0
Specimen_001_A12_A12_011.fcs,EXPRESSOR_pLac_4,,Minimal,0
Specimen_001_B1_B01_012.fcs,EXPRESSOR_pLac_5,,Minimal,0
Specimen_001_B2_B02_013.fcs,EXPRESSOR_pLac_5,,Minimal,0
Specimen_001_B3_B03_014.fcs,EXPRESSOR_pLac_5,,Minimal,0
Specimen_001_B4_B04_015.fcs,EXPRESSOR_pLac_6,,Minimal,0
Specimen_001_B5_B05_016.fcs,EXPRESSOR_pLac_6,,Minimal,0
Specimen_001_B6_B06_017.fcs,EXPRESSOR_pLac_6,,Minimal,0
Specimen_001_B7_B07_018.fcs,EXPRESSOR_pLac_7,,Minimal,0
Specimen_001_B8_B08_019.fcs,EXPRESSOR_pLac_7,,Minimal,0
Specimen_001_B9_B09_020.fcs,EXPRESSOR_pLac_7,,Minimal,0
Specimen_001_B10_B10_021.fcs,EXPRESSOR_pLac_8,,Minimal,0
Specimen_001_B11_B11_022.fcs,EXPRESSOR_pLac_8,,Minimal,0
Specimen_001_B12_B12_023.fcs,EXPRESSOR_pLac_8,,Minimal,0
Specimen_001_C1_C01_024.fcs,EXPRESSOR_pLac_9,,Minimal,0
Specimen_001_C2_C02_025.fcs,EXPRESSOR_pLac_9,,Minimal,0
Specimen_001_C3_C03_026.fcs,EXPRESSOR_pLac_9,,Minimal,0
Specimen_001_C4_C04_027.fcs,EXPRESSOR_pLac_10,,Minimal,0
Specimen_001_C5_C05_028.fcs,EXPRESSOR_pLac_10,,Minimal,0
Specimen_001_C6_C06_029.fcs,EXPRESSOR_pLac_10,,Minimal,0
Specimen_001_C7_C07_030.fcs,EXPRESSOR_pLac_11,,Minimal,0
Specimen_001_C8_C08_031.fcs,EXPRESSOR_pLac_11,,Minimal,0
Specimen_001_C9_C09_032.fcs,EXPRESSOR_pLac_11,,Minimal,0
Specimen_001_C10_C10_033.fcs,EXPRESSOR_pLac_12,,Minimal,0
Specimen_001_C11_C11_034.fcs,EXPRESSOR_pLac_12,,Minimal,0
Specimen_001_C12_C12_035.fcs,EXPRESSOR_pLac_12,,Minimal,0
negative.fcs,,negative,,
FITC-A_positive.fcs,,FITC-A,,
Pacific_Blue-A_positive.fcs,,Pacific_Blue-A,,
PE-Texas_Red-A_positive.fcs,,PE-Texas_Red-A,,
beads.fcs,,beads,,
