Wavelength,"EBFP2 (EX)","EBFP2 (EM)","EYFP (EX)","EYFP (EM)","T-Sapphire (EX)","T-Sapphire (EM)","CFP (Tsien) (AB)","CFP (Tsien) (EM)","mCitrine (AB)","mCitrine (EM)","mRFP1.4 (AB)","mRFP1.4 (EM)","EGFPm (Tsien) (AB)","EGFPm (Tsien) (EM)","mCherry (AB)","mCherry (EM)","mOrange (AB)","mOrange (EM)","DsRed (EX)","DsRed (EM)","E2-Crimson (EX)","E2-Crimson (EM)","NirFP (AB)","NirFP (EM)",
362.00,0.1220000000,,,0.5196900800,,0.0220000000,,0.0190000000,,0.0830000000,,0.8710000000,,,0.1186715190,,,,,0.1346960000,,0.0730000000,,0.0514000000,
363.00,0.1220000000,,,0.5332472220,,0.0200000000,,0.0190000000,,0.0850000000,,0.8720000000,,,0.1150854910,,,,,0.1360110000,,0.0760000000,,0.0514000000,
364.00,0.1210000000,,,0.5532601940,,0.0190000000,,0.0190000000,,0.0890000000,,0.8775000000,,,0.1176728100,,,,,0.1360050000,,0.0800000000,,0.0514000000,
365.00,0.1200000000,,,0.5726275830,,0.0180000000,,0.0190000000,,0.0920000000,,0.8880900000,,,0.1176038230,,,,,0.1372190000,,0.0810000000,,0.0514000000,
366.00,0.1200000000,,,0.5952226860,,0.0170000000,,0.0170000000,,0.0950000000,,0.9051600000,,,0.1183215270,,,,,0.1377550000,,0.0840000000,,0.0514000000,
367.00,0.1190000000,,,0.6107165770,,0.0160000000,,0.0160000000,,0.0990000000,,0.9209300000,,,0.1175889140,,,,,0.1382070000,,0.0880000000,,0.0514000000,
368.00,0.1180000000,,,0.6268560510,,0.0150000000,,0.0170000000,,0.1010000000,,0.9360400000,,,0.1190643840,,,,,0.1386690000,,0.0910000000,,0.0519100000,
369.00,0.1160000000,,,0.6494512540,,0.0150000000,,0.0160000000,,0.1060000000,,0.9465900000,,,0.1169193630,,,,,0.1395800000,,0.0920000000,,0.0532200000,
370.00,0.1150000000,,,0.6804390360,,0.0140000000,,0.0150000000,,0.1100000000,,0.9548100000,,,0.1183732770,,,,,0.1413640000,,0.0960000000,,0.0534000000,
371.00,0.1140000000,,,0.7101356520,,0.0130000000,,0.0160000000,,0.1160000000,,0.9616500000,,,0.1148971040,,,,,0.1413240000,,0.0980000000,,0.0534100000,
372.00,0.1120000000,,,0.7269206090,,0.0120000000,,0.0150000000,,0.1200000000,,0.9672300000,,,0.1152813590,,,,,0.1430430000,,0.1000000000,,0.0534400000,
373.00,0.1110000000,,,0.7366042540,,0.0120000000,,0.0140000000,,0.1250000000,,0.9733300000,,,0.1137032500,,,,,0.1430310000,,0.1010000000,,0.0536300000,
374.00,0.1090000000,,,0.7501613960,,0.0110000000,,0.0140000000,,0.1310000000,,0.9795600000,,,0.1163911790,,,,,0.1438910000,,0.1080000000,,0.0540900000,
375.00,0.1050000000,,,0.7663008700,,0.0100000000,,0.0140000000,,0.1370000000,,0.9840400000,,,0.1130248410,,,,,0.1435330000,,0.1100000000,,0.0547100000,
376.00,0.1030000000,,,0.7908328220,,0.0090000000,,0.0140000000,,0.1430000000,,0.9885500000,,,0.1149156760,,,,,0.1444420000,,0.1120000000,,0.0545900000,
377.00,0.1000000000,,,0.8082634620,,0.0080000000,,0.0150000000,,0.1510000000,,0.9933900000,,,0.1145910250,,,,,0.1437510000,,0.1160000000,,0.0550600000,
378.00,0.0980000000,,,0.8244028360,,0.0070000000,,0.0140000000,,0.1580000000,,0.9977100000,,,0.1151539270,,,,,0.1443070000,,0.1170000000,,0.0560500000,
379.00,0.0940000000,,,0.8469981390,,0.0060000000,,0.0150000000,,0.1670000000,,0.9997000000,,,0.1119391910,,,,,0.1437670000,,0.1220000000,,0.0555700000,
380.00,0.0900000000,,,0.8644286790,,0.0050000000,,0.0140000000,,0.1740000000,0.0045900000,1.0000000000,,,0.1095574240,,,,,0.1429240000,,0.1250000000,,0.0557300000,
381.00,0.0870000000,,,0.8818592190,,0.0040000000,,0.0140000000,,0.1820000000,0.0044000000,0.9992100000,,,0.1134469420,,,,,0.1419910000,,0.1270000000,,0.0565800000,
382.00,0.0820000000,,,0.8921885460,,0.0040000000,,0.0140000000,,0.1910000000,0.0042000000,0.9979500000,,,0.1068606090,,,,,0.1406860000,,0.1300000000,,0.0571900000,
383.00,0.0790000000,,,0.9031633560,,0.0030000000,,0.0140000000,,0.2010000000,0.0086700000,0.9916900000,,,0.1065997590,,,,,0.1394110000,,0.1320000000,,0.0571900000,
384.00,0.0760000000,,,0.9051001050,,0.0030000000,,0.0140000000,,0.2100000000,0.0101600000,0.9844400000,,,0.1064054980,,,,,0.1373470000,,0.1350000000,,0.0586100000,
385.00,0.0710000000,,,0.9051001050,,0.0020000000,,0.0140000000,,0.2190000000,0.0149200000,0.9716400000,,,0.1063524320,,,,,0.1357780000,,0.1360000000,,0.0581800000,
386.00,0.0670000000,,,0.9225306450,,0.0020000000,,0.0140000000,,0.2300000000,0.0144100000,0.9569400000,,,0.1003869430,,,,,0.1334870000,,0.1390000000,,0.0591300000,
387.00,0.0640000000,,,0.9399612850,,0.0020000000,,0.0150000000,,0.2410000000,0.0265600000,0.9395700000,,,0.0954303480,,,,,0.1314010000,,0.1430000000,,0.0602500000,
388.00,0.0600000000,,,0.9477081810,,0.0020000000,,0.0150000000,,0.2510000000,0.0278300000,0.9186400000,,,0.0958190320,,,,,0.1298110000,,0.1440000000,,0.0603000000,
389.00,0.0570000000,,,0.9541640100,,0.0020000000,,0.0150000000,,0.2620000000,0.0376500000,0.8956700000,,,0.0919497710,,,,,0.1271010000,,0.1470000000,,0.0594300000,
390.00,0.0550000000,,,0.9573919250,,0.0010000000,,0.0150000000,,0.2730000000,0.0454900000,0.8728500000,,,0.0871977850,,,,,0.1259620000,,0.1480000000,,0.0595400000,
391.00,0.0520000000,,,0.9593286740,,0.0010000000,,0.0140000000,,0.2860000000,0.0663500000,0.8488600000,,,0.0860031050,,,,,0.1227780000,,0.1510000000,,0.0614600000,
392.00,0.0500000000,,,0.9715946500,,0.0010000000,,0.0150000000,,0.2980000000,0.0760900000,0.8244700000,,,0.0797548650,,,,,0.1210740000,,0.1540000000,,0.0619600000,
393.00,0.0460000000,,,0.9922531040,,0.0010000000,,0.0150000000,,0.3110000000,0.0976700000,0.7987200000,,,0.0788560200,,,,,0.1184710000,,0.1560000000,,0.0603900000,
394.00,0.0450000000,,,0.9961265020,,0.0010000000,,0.0150000000,,0.3250000000,0.1234700000,0.7754700000,,,0.0759255620,,,,,0.1168010000,,0.1580000000,,0.0589000000,
395.00,0.0420000000,,,0.9967720850,,0.0010000000,,0.0150000000,,0.3390000000,0.1477000000,0.7521500000,,,0.0727944710,,,,,0.1146670000,,0.1600000000,,0.0589900000,
396.00,0.0400000000,,,0.9980632510,,0.0020000000,,0.0150000000,,0.3540000000,0.1842700000,0.7298700000,,,0.0681306300,,,,,0.1126450000,,0.1620000000,,0.0597100000,
397.00,0.0390000000,,,1.0000000000,,0.0020000000,,0.0160000000,,0.3690000000,0.2176200000,0.7092700000,,,0.0671191870,,,,,0.1102670000,,0.1650000000,,0.0600500000,
398.00,0.0360000000,,,1.0000000000,,0.0020000000,,0.0160000000,,0.3850000000,0.2537900000,0.6871300000,,,0.0648428300,,,,,0.1081510000,,0.1650000000,,0.0604700000,
399.00,0.0330000000,,,1.0000000000,,0.0020000000,,0.0160000000,,0.4020000000,0.2873000000,0.6648400000,,,0.0618649630,,,,,0.1061870000,,0.1670000000,,0.0568700000,
400.00,0.0310000000,,,0.9909619390,,0.0020000000,,0.0160000000,,0.4190000000,0.3293900000,0.6432200000,,,0.0590949200,,,0.0300645410,,0.1034760000,,0.1680000000,,0.0571900000,
401.00,0.0290000000,,,0.9845062090,,0.0020000000,,0.0170000000,,0.4360000000,0.3746000000,0.6212500000,,,0.0577444730,,,0.0283502940,,0.1002820000,,0.1680000000,,0.0574800000,
402.00,0.0270000000,,,0.9690123180,,0.0020000000,,0.0170000000,,0.4550000000,0.4114500000,0.5980600000,,,0.0540634190,,,0.0270561720,,0.0982850000,,0.1700000000,,0.0574800000,
403.00,0.0250000000,,,0.9425436170,,0.0020000000,,0.0170000000,,0.4730000000,0.4443800000,0.5737400000,,,0.0551097660,,,0.0263699630,,0.0959340000,,0.1700000000,,0.0562400000,
404.00,0.0220000000,,,0.9322143900,,0.0020000000,,0.0170000000,,0.4900000000,0.4733800000,0.5472200000,,,0.0507602790,,,0.0254196540,,0.0930080000,,0.1710000000,,0.0574200000,
405.00,0.0200000000,,,0.9264041430,,0.0020000000,,0.0180000000,,0.5090000000,0.5150600000,0.5180600000,,,0.0486368680,,,0.0238940810,,0.0898300000,,0.1730000000,,0.0571700000,
406.00,0.0170000000,,,0.9147837500,,0.0030000000,,0.0180000000,,0.5270000000,0.5273100000,0.4881400000,,,0.0462998070,,,0.0236222180,,0.0866760000,,0.1730000000,,0.0544700000,
407.00,0.0160000000,,,0.8979986930,,0.0030000000,,0.0180000000,,0.5450000000,0.5644200000,0.4564700000,,,0.0443681740,,,0.0223016430,,0.0834590000,,0.1740000000,,0.0526100000,
408.00,0.0130000000,,,0.8779858210,,0.0030000000,,0.0190000000,,0.5620000000,0.5843500000,0.4244800000,,,0.0444008900,,,0.0211134240,,0.0802400000,,0.1760000000,,0.0551500000,
409.00,0.0120000000,,,0.8547450350,,0.0030000000,,0.0190000000,,0.5800000000,0.6075200000,0.3908800000,,,0.0404305680,,,0.0201952380,,0.0765490000,,0.1770000000,,0.0537700000,
410.00,0.0100000000,,,0.8224661870,,0.0030000000,,0.0180000000,,0.5970000000,0.6250300000,0.3583100000,,,0.0372286590,,,0.0196939030,,0.0736890000,,0.1780000000,,0.0524700000,
411.00,0.0090000000,,,0.7985797180,,0.0030000000,,0.0180000000,,0.6140000000,0.6531200000,0.3262000000,,,0.0352498670,,,0.0190267170,,0.0696110000,,0.1800000000,,0.0517200000,
412.00,0.0070000000,,,0.7850225750,,0.0040000000,,0.0180000000,,0.6300000000,0.6623300000,0.2957300000,,,0.0323655580,,,0.0183109820,,0.0665870000,,0.1820000000,,0.0522400000,
413.00,0.0070000000,,,0.7734021820,,0.0040000000,,0.0190000000,,0.6470000000,0.6754200000,0.2676500000,,,0.0310818140,,,0.0172953650,,0.0631810000,,0.1840000000,,0.0509600000,
414.00,0.0060000000,,,0.7488702300,,0.0040000000,,0.0180000000,,0.6630000000,0.6946300000,0.2414300000,,,0.0302664640,,,0.0165372960,,0.0601210000,,0.1860000000,,0.0478400000,
