Channel,Laser,Filters,
1,405:100,450:50,
2,405:100,525:50,505
3,405:100,540:30,535
4,405:100,620:20,600
5,488:200,488:10,
6,488:200,530:30,505
7,488:200,582:15,555
8,488:200,695:40,685
9,514:100,508:6,
10,514:100,540:15,525
11,561:100,582:15,
12,561:100,610:20,595
13,561:100,670:30,635
14,561:100,695:40,685
15,561:100,780:60,750
16,637:150,670:30,
17,637:150,730:45,685
Extra,,,
