"ng_mL_aTc","MEAN_YFP.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","MEAN_Pacific_Orange.A","STD_YFP.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A","STD_Pacific_Orange.A"
0,17.380718179075,29.6189421813225,344.978995070553,14.9545122394833,1.1239436027086,5.22882281089809,248.728854186228,5.61671157657384
100,15.5497397025517,37.5839147715391,1311.8247298783,43.5059597415707,1.19901296237652,6.3565701466905,653.232648279482,13.619181827086
30,25.666529479637,81.8499603639158,269.51798747538,79.8449676016537,5.41768196470641,22.1470343052622,436.795312080439,27.6819339788566
10,23.3190068258761,66.0455476565966,663.646401068901,66.1923392518348,8.58093534255392,32.1595009100307,821.492183851683,27.4777033091433
