"Time","MEAN_FITC.A","MEAN_Pacific_Blue.A","MEAN_PE.Texas_Red.A","MEAN_Pacific_Orange.A","STD_FITC.A","STD_Pacific_Blue.A","STD_PE.Texas_Red.A","STD_Pacific_Orange.A"
0,3709.06562469987,571.628186180246,23.7291116236458,222.608492957647,882.799380277561,26.5520483093129,1.22794810438722,15.0330754995472
30,3044.32470441585,597.549343993876,24.4634470899315,240.595766138886,223.983460338475,45.7504359039265,0.111539015676714,22.9512601358697
60,3471.06227237721,608.500761613891,25.0473219301047,204.291334463052,103.857967202156,21.2296497372187,0.854912438344446,10.7792807856952
90,7090.37311300138,207.555678041388,25.1744446662207,55.8442406147322,1899.43753895169,29.2959329828464,2.42764368545471,1.80881023803457
120,8072.14962630115,277.169262649767,27.1269021246361,398.941315942217,1645.5858976886,21.217063995197,2.68901670320899,517.178880311096
